overall_game_rank_diff,overall_game_win_rate_diff,overall_series_win_rate_diff,head_to_head_game_win_rate_diff,head_to_head_series_win_rate_diff,latest_series_win_rate_diff,latest_game_win_rate_diff,win
5,-37.75,-50.0,-60.0,-100.0,-14.28,-20.91,0
-5,37.75,50.0,60.0,100.0,14.28,20.91,1
-3,14.3,18.75,-100.0,-100.0,28.57,12.7,1
3,-14.3,-18.75,100.0,100.0,-28.57,-12.7,0
-1,1.21,0.0,0.0,0.0,-14.29,-2.57,1
1,-1.21,0.0,-0.0,-0.0,14.29,2.57,0
-1,2.11,6.25,-60.0,-100.0,-28.57,-20.59,0
1,-2.11,-6.25,60.0,100.0,28.57,20.59,1
-3,29.05,37.5,100.0,100.0,71.43,46.32,1
3,-29.05,-37.5,-100.0,-100.0,-71.43,-46.32,0
-2,14.05,25.0,60.0,100.0,28.57,8.82,0
2,-14.05,-25.0,-60.0,-100.0,-28.57,-8.82,1
2,-17.11,-18.75,0.0,0.0,-14.29,-16.91,0
-2,17.11,18.75,-0.0,-0.0,14.29,16.91,1
-3,7.38,18.75,60.0,100.0,42.85,22.92,1
3,-7.38,-18.75,-60.0,-100.0,-42.85,-22.92,0
-1,7.34,0.0,100.0,100.0,-28.57,-8.82,0
1,-7.34,0.0,-100.0,-100.0,28.57,8.82,1
-1,8.6,6.25,60.0,100.0,0.0,0.0,1
1,-8.6,-6.25,-60.0,-100.0,-0.0,-0.0,0
-4,29.17,31.25,20.0,0.0,42.86,43.33,0
4,-29.17,-31.25,-20.0,-0.0,-42.86,-43.33,1
2,-23.3,-18.75,-100.0,-100.0,-14.29,-26.66,1
-2,23.3,18.75,100.0,100.0,14.29,26.66,0
-3,14.47,18.75,-20.0,0.0,28.57,16.67,1
3,-14.47,-18.75,20.0,-0.0,-28.57,-16.67,0
-3,22.89,31.25,100.0,100.0,28.57,21.32,1
3,-22.89,-31.25,-100.0,-100.0,-28.57,-21.32,0
-1,4.04,6.25,-60.0,-100.0,0.0,2.94,0
1,-4.04,-6.25,60.0,100.0,-0.0,-2.94,1
-1,-0.9,6.25,0.0,0.0,28.57,13.4,1
1,0.9,-6.25,-0.0,-0.0,-28.57,-13.4,0
-4,20.57,25.0,60.0,100.0,14.29,17.65,1
4,-20.57,-25.0,-60.0,-100.0,-14.29,-17.65,0
-2,13.78,12.5,20.0,0.0,0.0,11.76,1
2,-13.78,-12.5,-20.0,-0.0,-0.0,-11.76,0
1,-7.69,-6.25,-60.0,-100.0,14.28,7.51,0
-1,7.69,6.25,60.0,100.0,-14.28,-7.51,1
-2,4.85,7.14,100.0,100.0,0.0,4.17,0
2,-4.85,-7.14,-100.0,-100.0,-0.0,-4.17,1
-2,11.27,28.57,-20.0,0.0,57.14,21.98,1
2,-11.27,-28.57,20.0,-0.0,-57.14,-21.98,0
-5,25.21,35.71,100.0,100.0,57.14,41.67,1
5,-25.21,-35.71,-100.0,-100.0,-57.14,-41.67,0
-1,4.53,0.0,60.0,100.0,-14.28,11.84,1
1,-4.53,0.0,-60.0,-100.0,14.28,-11.84,0
3,-11.66,-28.57,-33.34,-100.0,-57.14,-29.83,0
-3,11.66,28.57,33.34,100.0,57.14,29.83,1
-1,9.02,7.14,60.0,100.0,14.28,0.0,1
1,-9.02,-7.14,-60.0,-100.0,-14.28,-0.0,0
-1,4.53,0.0,60.0,100.0,-14.28,11.84,1
1,-4.53,0.0,-60.0,-100.0,14.28,-11.84,0
-1,9.02,7.14,60.0,100.0,14.28,0.0,1
1,-9.02,-7.14,-60.0,-100.0,-14.28,-0.0,0
-1,-0.16,7.14,33.34,100.0,14.28,2.94,0
1,0.16,-7.14,-33.34,-100.0,-14.28,-2.94,1
-3,15.87,28.58,0.0,0.0,14.29,12.08,1
3,-15.87,-28.58,-0.0,-0.0,-14.29,-12.08,0
-3,26.11,35.71,60.0,100.0,28.57,24.37,1
3,-26.11,-35.71,-60.0,-100.0,-28.57,-24.37,0
